%%%% Latex tables for 'The relationship between dN/dS and scaled selection coefficients' (SJS, COW). %%%%%





%%%%%%%%%  NP dAIC table  %%%%%%%%%%
Fnuc & 5 & 0 (0)  & 0 (0)  \\ 
F1x4 & 5 & -4110522.59 (29403.83)  & -4113176.42 (18936.59)  \\ 
CF3x4 & 11 & -4106695.83 (32092.47)  & -4110412.62 (5198.40)  \\ 
F3x4 & 11 & -4112103.30 (50194.48)  & -4113684.34 (28635.18)  \\ 
F61 & 62 & -4096741.43 (65475.10)  & -4110482.75 (5316.52)  \\ 



%%%%%%%%%  Yeast dAIC table  %%%%%%%%%
Fnuc & 5 & 0 (0)  & 0 (0)  \\ 
F1x4 & 5 & -3967854.04 (147922.33)  & -3974571.92 (181909.82)  \\ 
CF3x4 & 11 & -3963057.08 (148227.46)  & -3973790.54 (191530.31)  \\ 
F3x4 & 11 & -3972768.03 (150045.35)  & -3980424.02 (191521.22)  \\ 
F61 & 62 & -3955505.20 (148023.84)  & -3974007.80 (191678.03)  \\ 



%%%%%%%%%  Polio dAIC table  %%%%%%%%%
Fnuc & 5 & 0 (0)  & 0 (0)  \\ 
F1x4 & 5 & -3535535.65 (256147.28)  & -3548685.06 (291042.26)  \\ 
CF3x4 & 11 & -3528315.59 (244833.08)  & -3543917.87 (294076.66)  \\ 
F3x4 & 11 & -3539604.01 (253746.00)  & -3555805.19 (302106.86)  \\ 
F61 & 62 & -3520641.22 (238395.84)  & -3543716.83 (293919.71)  \\ 
